"city", "state", "population"
"Radford ","VA",16125
"Blytheville ","AR",16105
"Farmington ","MO",16097
"Nederland ","TX",16096
"Taylor ","TX",1609
"Clayton ","MO",16088
"Greenwood ","MS",16084
"Hanahan ","SC",16065
"Defiance ","OH",16063
"Saratoga Springs ","UT",16053
"Prospect Heights ","IL",16047
"Aberdeen ","WA",16042
"Morton","IL",16039
"Mount Vernon ","OH",16037
"Dickinson ","ND",16035
"Waterville ","ME",16016
"Madison","NJ",16009
"Albany ","CA",16004
"New Milford","NJ",15947
"Dyer","IN",15913
"Lexington","SC",15901
"Conway ","SC",15894
"Dallas ","OR",15892
"South Ogden ","UT",15891
"Ca�on City ","CO",15889
"Stuart ","FL",15858
"Henderson ","NC",1585
"Floral Park","NY",15846
"Clayton","NC",15841
"North Myrtle Beach ","SC",15816
"North Aurora","IL",15812
"Shafter ","CA",158
"Newport ","KY",15766
"Fairview Park ","OH",15762
"Hueytown ","AL",15751
"Centerville ","UT",1572
"Westchester","IL",1571
"Centralia ","WA",1571
"Johnston ","IA",15691
"Red Wing ","MN",15687
"South River","NJ",15682
"Coos Bay ","OR",15665
"Canby ","OR",15637
"Marco Island ","FL",15634
"Overland ","MO",15632
"Powder Springs ","GA",15614
"La Palma ","CA",15603
"Jenks ","OK",1559
"West University Place ","TX",15583
"Menomonie ","WI",15581
"Great Bend ","KS",15564
"Laurinburg ","NC",15548
"Lansdale","PA",15526
"Danville ","KY",15524
"Albemarle ","NC",15522
"Shorewood","IL",15521
"Hopatcong","NJ",15491
"Payson","AZ",15486
"Deming ","NM",1548
"Sulphur Springs ","TX",15473
"Eden ","NC",15469
"Greeneville","TN",1544
"Troutdale ","OR",15438
"Kaukauna ","WI",15414
"Moultrie ","GA",15409
"Center Point ","AL",15408
"Lebanon ","IN",154
"Lebanon ","OR",15397
"Hyattsville ","MD",15376
"Secaucus","NJ",15372
"West Melbourne ","FL",15328
"Depew","NY",15307
"Hermiston ","OR",15297
"Cullman ","AL",15295
"Opa-locka ","FL",15287
"Riverdale ","GA",15279
"St. Michael ","MN",15278
"Brenham ","TX",1527
"Lynn Haven ","FL",15254
"Gatesville ","TX",15252
"Greensburg ","PA",15249
"La Grange","IL",15244
"Clive ","IA",15234
"Montgomery","IL",15229
"Hawaiian Gardens ","CA",15229
"Forest Park","IL",15224
"Forney ","TX",15223
"Greenfield ","CA",15222
"Fort Thomas ","KY",15222
"Batavia ","NY",15202
"Harrison","NJ",15201
"Milton ","GA",15156
"Grosse Pointe Woods ","MI",15154
"Troy ","AL",15148
"Lake Mary ","FL",15143
"Fayetteville ","GA",15136
"Beaver Dam ","WI",15133
"Mercedes ","TX",15131
"Sterling ","IL",15124
"Cahokia","IL",15103
"Alexander City ","AL",1508
"Arvin ","CA",1507
"Westbury","NY",15065
"Rye ","NY",1506
"Fillmore ","CA",15053
"Crawfordsville ","IN",15043
"Newton ","IA",15042
"Clearlake ","CA",1504
"Bryant ","AR",1504
"Dixon ","IL",15033
"Bellevue","WI",15031
"Bridgeton ","MO",15028
"Hanover","PA",15025
"Cohoes ","NY",15025
"Ham Lake ","MN",1502
"Mount Pleasant ","TX",15011
"Kenmore","NY",15002
"Scottsboro ","AL",14994
"Bridgeview","IL",14991
"Paradise Valley","AZ",1499
"Gloversville ","NY",1499
"Covington ","GA",1498
"Bradley","IL",14964
"Addison","TX",14964
"Owosso ","MI",14963
"Ukiah ","CA",14956
"Sunnyside ","WA",14949
"Lady Lake","FL",1494
"New Franklin ","OH",14937
"Maitland ","FL",14931
"Middleburg Heights ","OH",14928
"Vienna","VA",14903
"Fraser ","MI",14902
"Humble ","TX",14899
"Pooler ","GA",14875
"Reidsville ","NC",14871
"Sharon ","PA",14869
"Elkton","MD",14842
"Siloam Springs ","AR",14825
"Tonawanda ","NY",14819
"Calhoun ","GA",14807
"Berkley ","MI",14787
"Scottsbluff ","NE",14785
"Murphy ","TX",14779
"Pineville ","LA",14776
"Waycross ","GA",14774
"Ocean City ","NJ",14756
"Indiana","PA",14754
"Washington ","PA",14754
"Mitchell ","SD",14752
"Johnson City","NY",14727
"Boulder City ","NV",1472
"Allouez","WI",14718
"Ozark ","AL",14711
"North Arlington","NJ",14701
"Lindenhurst","IL",14695
"Oroville ","CA",14684
"Easton","MD",14677
"Grenada ","MS",14664
"Tenafly","NJ",14662
"Panama City Beach ","FL",14642
"Helena ","AL",14639
"Jamestown ","ND",1463
"Jennings ","MO",14625
"Front Royal","VA",14616
"Bay Village ","OH",14606
"Canyon ","TX",14602
"Pacific Grove ","CA",14601
"Ramsey","NJ",14595
"Beacon ","NY",14566
"California City ","CA",14556
"Cibolo ","TX",14555
"Aurora ","OH",14548
"Canton ","IL",14545
"Martinsville ","VA",14543
"Lincoln ","IL",14541
"Graham ","NC",14533
"Phillipsburg","NJ",14528
"Eufaula ","AL",14502
"Hereford ","TX",14499
"Streetsboro ","OH",14488
"Lake Wales ","FL",14474
"Ripon ","CA",14473
"Sunland Park ","NM",14453
"West Park ","FL",14432
"Berea ","KY",14431
"Pottsville ","PA",14405
"Traverse City ","MI",14398
"Groves ","TX",14393
"Washington ","MO",14392
"Jacksonville ","TX",14367
"Indianola ","IA",14361
"Stockbridge ","GA",1436
"Auburndale ","FL",14353
"River Falls ","WI",14352
"Lebanon ","MO",14336
"Beech Grove ","IN",14316
"Marietta ","OH",14307
"Glasgow ","KY",14302
"Whitewater ","WI",14291
"Palmetto ","FL",14284
"Athens ","TN",14275
"Corinth ","MS",14253
"Zachary ","LA",14252
"Highland Park","NJ",14245
"La Marque ","TX",14236
"Greenwood Village ","CO",1423
"Moberly ","MO",14227
"Buffalo ","MN",14222
"Eatontown","NJ",14195
"Oconomowoc ","WI",14172
"Riverdale","IL",14163
"Lake St. Louis ","MO",1416
"Los Lunas","NM",14153
"Highland Park ","MI",14153
"Olean ","NY",14149
"Jasper ","AL",14131
"Vandalia ","OH",14124
"Jasper ","IN",14116
"Tumwater ","WA",141
"Sault Ste. Marie ","MI",14087
"Hazel Crest","IL",14075
"Winder ","GA",14064
"Fort Payne ","AL",14061
"Thibodaux ","LA",14052
"Channahon","IL",1403
"Red Bluff ","CA",14025
"Aberdeen ","MD",13993
"Greendale","WI",13978
"Dunmore","PA",13978
"Culpeper","VA",13977
"Dickson ","TN",13972
"Elizabethton ","TN",13955
"Norridge","IL",13954
"Moss Point ","MS",13951
"Rio Grande City ","TX",1395
"Boone","NC",13945
"Washington ","IL",13942
"Butler ","PA",13933
"Connersville ","IN",13931
"Crowley ","LA",13922
"Dumas ","TX",13916
"Carthage ","MO",13916
"Sartell ","MN",13915
"West Columbia ","SC",13914
"Katy ","TX",13913
"Hutchinson ","MN",13913
"Callaway ","FL",13899
"Pierre ","SD",13899
"Antioch","IL",13892
"Hartselle ","AL",13888
"Glens Falls ","NY",13877
"Otsego ","MN",13874
"Forest Hill ","TX",13858
"Maumee ","OH",13856
"Wood Dale ","IL",13855
"Altoona ","IA",13854
"Hartford ","WI",13853
"Lyndhurst ","OH",13848
"Las Vegas ","NM",13818
"Collingswood","NJ",13817
"Morris ","IL",13812
"Foley ","AL",13807
"Yankton ","SD",13798
"Streator ","IL",1378
"Cusseta","GA",13754
"Tavares ","FL",13746
"Jackson ","MO",13744
"Willowick ","OH",13727
"Republic ","MO",13715
"North Adams ","MA",13711
"Morrisville","NC",13699
"Brainerd ","MN",13691
"New Haven ","IN",13685
"McComb ","MS",13684
"Circleville ","OH",13681
"New Kensington ","PA",13667
"Gardendale ","AL",13665
"South Daytona ","FL",13662
"Lockhart ","TX",13661
"Kingsland ","GA",13659
"Midlothian","IL",13657
"Zionsville","IN",13655
"Carpinteria ","CA",13655
"Washington Court House ","OH",13654
"Imperial ","CA",13648
"Ammon ","ID",13646
"Middlesex","NJ",13644
"Fergus Falls ","MN",13636
"Warsaw ","IN",13627
"Warrensville Heights ","OH",13618
"Lake Stevens ","WA",13599
"Hutto ","TX",13599
"Palos Verdes Estates ","CA",13585
"Whitefish Bay","WI",13584
"Centralia ","IL",13569
"Hewitt ","TX",13561
"Conyers ","GA",13545
"Bemidji ","MN",13541
"Fairview","NJ",1354
"Robbinsdale ","MN",13518
"Washougal ","WA",13509
"Longwood ","FL",13493
"Richmond ","TX",13493
"Bedford ","IN",13486
"Weston","WI",13447
"North Salt Lake ","UT",13446
"Commerce ","CA",13435
"Wixom ","MI",13425
"Hammonton","NJ",13424
"St. Marys ","PA",13409
"Oldsmar ","FL",13401
"Livingston ","CA",134
"Moody ","AL",134
"Whitehall","PA",134
"McPherson ","KS",13396
"Princeton","NJ",13391
"Monroe ","GA",13381
"Sharonville ","OH",13377
"Newton ","NC",13372
"Chicago Ridge","IL",13366
"Baker ","LA",1336
"Kuna ","ID",13354
"Hickory Hills ","IL",13326
"Hurricane ","UT",13321
"Worthington ","OH",13314
"Oakland","NJ",13312
"Brookhaven ","MS",13296
"Forrest City ","AR",13281
"Parlier ","CA",13273
"McMinnville ","TN",1327
"Mill Valley ","CA",13268
"Hope Mills","NC",13262
"Lake Station ","IN",13246
"Meadville ","PA",13233
"Shorewood","WI",13226
"Orangeburg ","SC",13224
"Auburn ","CA",13219
"Geneva ","NY",13216
"Oneonta ","NY",13208
"Harrison ","AR",132
"Gaffney ","SC",132
"Holly Hill ","FL",13199
"Zephyrhills ","FL",13152
"Atlantic Beach ","FL",13147
"Live Oak ","TX",13142
"Hugo ","MN",13139
"Grover Beach ","CA",13131
"Beach Park","IL",13119
"Clermont ","FL",131
"Metuchen","NJ",13098
"Havre de Grace ","MD",13085
"Ephrata","PA",13074
"Sweetwater ","FL",13072
"New Ulm ","MN",13048
"Horizon City ","TX",13043
"Warrenville ","IL",13033
"Muscle Shoals ","AL",13032
"Miami ","OK",13027
"Auburn ","IN",13026
"Clemson ","SC",13012
"Malibu ","CA",13009
"Fostoria ","OH",13
"St. John","IN",12999
"Glendale ","WI",12992
"Perry ","GA",1299
"Greenville ","OH",12983
"Wickliffe ","OH",12983
"Claremont ","NH",12968
"Stoughton ","WI",12966
"Bedford ","OH",12965
"Smithfield","NC",12965
"Minden ","LA",12962
"Saraland ","AL",12946
"Kingston","PA",12943
"Fernley ","NV",12942
"Franklin ","OH",12941
"Chippewa Falls ","WI",12929
"Swansea","IL",12927
"Clayton ","OH",12906
"West Monroe ","LA",12899
"Lewisville","NC",12878
"Hayden ","ID",12873
"Mount Dora ","FL",12869
"Brecksville ","OH",12851
"Ottawa ","KS",1285
"Sylacauga ","AL",12843
"Richton Park","IL",12842
"Pell City ","AL",12841
"Villa Rica ","GA",12838
"Solana Beach ","CA",12825
"Powell ","OH",12814
"San Marino ","CA",12808
"Lebanon ","NH",12806
"Roselle Park","NJ",12802
"Sterling ","CO",128
"Blue Ash ","OH",12783
"Bloomsburg","PA",12772
"Beatrice ","NE",12769
"St. Ann ","MO",12766
"West Carrollton City ","OH",12761
"Babylon","NY",1276
"Eloy ","AZ",1275
"Kerman ","CA",12737
"Madison ","IN",12716
"Fulton ","MO",12707
"Chesterton","IN",12705
"Western Springs","IL",1269
"Englewood ","OH",12686
"Pataskala ","OH",12683
"Beeville ","TX",12682
"La Grande ","OR",12682
"Ringwood","NJ",12681
"Borger ","TX",12677
"Southern Pines","NC",12675
"Bellefontaine ","OH",12665
"Brigantine ","NJ",12647
"Marshall ","MN",12647
"Cayce ","SC",12646
"Happy Valley ","OR",12643
"Williston ","ND",12641
"Somerville","NJ",12637
"Okmulgee ","OK",12634
"Woodhaven ","MI",12634
"Wilton Manors ","FL",12616
"Boone ","IA",12614
"Glen Carbon","IL",12607
"Bogalusa ","LA",12607
"Port Neches ","TX",12604
"Wilmington ","OH",12603
"Speedway","IN",12594
"Mountain Home ","AR",12592
"El Dorado ","KS",12591
"Ionia ","MI",12589
"Harper Woods ","MI",12584
"Destin ","FL",12563
"Miami Springs ","FL",12534
"North Mankato ","MN",1253
"Canton ","MS",1252
"University Heights ","OH",12519
"Soddy-Daisy ","TN",12511
"St. Helens ","OR",1251
"Bexley ","OH",12507
"Vadnais Heights ","MN",12506
"Pewaukee ","WI",12494
"Freeport ","TX",12494
"Effingham ","IL",12489
"Williamsburg ","VA",12481
"Palos Heights ","IL",12469
"Dover ","OH",12466
"New Carrollton ","MD",1246
"Justice","IL",12452
"Levelland ","TX",1245
"Half Moon Bay ","CA",12449
"Somerset ","KY",12449
"Lake Forest Park ","WA",12438
"Lake City ","FL",12427
"South Charleston ","WV",12427
"Mandeville ","LA",12421
"Endicott","NY",12411
"La Grange Park","IL",12404
"St. Augustine ","FL",12404
"Derby ","CT",12393
"Florham Park","NJ",12389
"Mountain Home ","ID",12382
"Winnetka","IL",12371
"Ridgefield Park","NJ",1237
"Crowley ","TX",12368
"Waukee ","IA",12367
"Conneaut ","OH",12355
"Somerton ","AZ",12346
"Herrin ","IL",12337
"Bainbridge ","GA",12337
"Pinehurst","NC",12331
"Gulfport ","FL",12327
"Show Low ","AZ",12324
"Athens ","TX",1232
"Hernando ","MS",12318
"Niceville ","FL",12313
"Kewanee ","IL",12302
"Peru ","IN",12301
"Woodward ","OK",12299
"East Wenatchee ","WA",12286
"Troy ","MO",1227
"Bucyrus ","OH",12252
"Markham ","IL",12248
"Avon","IN",12238
"Taylorville ","IL",12238
"Long Beach ","MS",12234
"Grass Valley ","CA",12232
"Wauconda","IL",12219
"Cleveland ","MS",12218
"Marion ","AR",12217
"Portales ","NM",12215
"Escanaba ","MI",12214
"Grand Terrace ","CA",12204
"Hudson ","WI",12196
"Wanaque","NJ",12195
"Patchogue","NY",12194
"Helena-West Helena ","AR",1219
"Rantoul","IL",12189
"Kelso ","WA",12188
"Ventnor City ","NJ",12187
"Robstown ","TX",12179
"Monroe ","OH",12178
"Franklin Park","PA",12172
"Clawson ","MI",12157
"Middletown","DE",12152
"North Palm Beach","FL",12149
"Green River ","WY",12149
"Marshall ","MO",12118
"Abbeville ","LA",12103
"McFarland ","CA",12098
"Lower Burrell ","PA",12087
"Dunkirk ","NY",12085
"Gladstone ","OR",12079
"Elizabethtown","PA",12069
"West Plains ","MO",12045
"Sauk Rapids ","MN",12013
"Kilgore ","TX",1201
"Hendersonville ","NC",12005
"Mounds View ","MN",12005
"Excelsior Springs ","MO",12002
"Seagoville ","TX",11998
"East Liverpool ","OH",11996
"San Anselmo","CA",11986
"Hidalgo ","TX",11984
"Mount Washington ","KY",1198
"Somersworth ","NH",11967
"South Sioux City ","NE",11936
"Cocoa Beach ","FL",1192
"West Paterson","NJ",11908
"New Providence","NJ",11905
"The Dalles ","OR",11897
"Fort Atkinson ","WI",11895
"East Bethel ","MN",11895
"Plano ","IL",11886
"Red Bank","NJ",11866
"Poquoson ","VA",11829
"Chubbuck ","ID",11828
"Riverview ","MI",11817
"Bastrop ","LA",11814
"Lincolnwood","IL",1181
"Two Rivers ","WI",11807
"Martinsville ","IN",118
"Picayune ","MS",11787
"Evanston ","WY",11781
"Salem ","OH",11781
"Buford ","GA",1178
"Monticello ","MN",1178
"Mooresville","IN",11763
"Satellite Beach ","FL",11762
"Beaufort ","SC",11755
"Cambridge ","MD",11752
"Lynden ","WA",11737
"Tehachapi ","CA",11736
"Loveland ","OH",11734
"Federal Heights ","CO",11732
"Amherst ","OH",11724
"Plover","WI",1172
"Brown Deer","WI",11716
"Garden City ","ID",11713
"Marysville ","CA",117
"Larkspur ","CA",11693
"Irmo","SC",11684
"Uniontown ","PA",11682
"Fenton ","MI",11678
"Los Alamitos ","CA",11656
"Henderson ","TX",11631
"King City ","CA",11627
"Coatesville ","PA",11624
"Muskegon Heights ","MI",11623
"Franklin Lakes","NJ",11619
"Seven Hills ","OH",11616
"Grafton","WI",11613
"Fernandina Beach ","FL",1161
"Morgan City ","LA",11604
"Lilburn ","GA",11599
"Sedona ","AZ",11599
"Crossville ","TN",11599
"Mendota Heights ","MN",11594
"Schiller Park","IL",11573
"Red Bank ","TN",11573
"North Liberty ","IA",11561
"Webb City ","MO",11532
"Seabrook ","TX",11525
"Alton ","TX",11523
"Cordele ","GA",11518
"Camden ","AR",11512
"Gloucester City ","NJ",11503
"Eunice ","LA",115
"Winfield ","KS",11497
"Verona ","WI",11486
"Norton ","OH",11472
"Cornelius ","OR",11464
"Northlake ","IL",11462
"Urbana ","OH",11442
"Haddonfield","NJ",11442
"Port Lavaca ","TX",11432
"Freehold","NJ",11425
"Yazoo City ","MS",11425
"Douglas ","GA",11413
"Cottonwood ","AZ",11412
"Hasbrouck Heights","NJ",1141
"Crestwood ","MO",11408
"Burr Ridge","IL",11398
"Washington ","IN",11397
"Cloquet ","MN",11387
"Ravenna ","OH",11381
"Yeadon","PA",11367
"Ferndale ","WA",11359
"Tuskegee ","AL",11357
"Vidalia ","GA",11355
"Choctaw ","OK",11354
"Coshocton ","OH",11353
"Emmaus","PA",11349
"Azle ","TX",11347
"New Baltimore ","MI",11346
"Somers Point ","NJ",11343
"Fortuna ","CA",11329
"Manassas Park ","VA",11319
"Neosho ","MO",11317
"Fairfield ","AL",11316
"Leeds ","AL",11312
"Elk City ","OK",11311
"Pine Hill","NJ",11308
"Ironton ","OH",11307
"Wallington","NJ",11296
"Shelbyville ","KY",11294
"West Point ","MS",11292
"Waunakee","WI",1129
"Clayton ","CA",11278
"Pontiac ","IL",11258
"Niles ","MI",11258
"Roma ","TX",11257
"North St. Paul ","MN",11247
"Festus ","MO",11246
"Baraboo ","WI",11244
"Canyon Lake ","CA",11243
"Bardstown ","KY",11242
"Lyndon ","KY",11242
"Woodinville ","WA",1124
"Alexandria ","MN",11237
"Fulton ","NY",11219
"Chamblee ","GA",11202
"Munhall","PA",11199
"Lakeway ","TX",11193
"Cambridge ","OH",11192
"River Forest","IL",11176
"Bellmawr","NJ",11176
"Kings Mountain ","NC",11175
"Port Washington ","WI",11174
"Shiloh","IL",11173
"Falls Church ","VA",11169
"Canandaigua ","NY",11168
"Portland ","TN",11154
"Dobbs Ferry","NY",11134
"Glen Rock","NJ",11131
"Arkadelphia ","AR",1113
"Scotts Valley ","CA",11128
"Little Chute","WI",11121
"Ogdensburg ","NY",11119
"Lighthouse Point ","FL",11118
"Beachwood ","OH",11108
"Lancaster","NY",11108
"Cedarburg ","WI",11101
"Fredericksburg ","TX",11098
"Bluefield ","WV",11093
"Suffern","NY",11088
"Fox Lake","IL",11087
"Magnolia ","AR",11081
"Chino Valley","AZ",11078
"Glenn Heights ","TX",11078
"Mexico ","MO",11074
"Arkansas City ","KS",1107
"Oskaloosa ","IA",11069
"Parsons ","KS",11065
"Kingsburg ","CA",11064
"Port Royal","SC",11064
"Fredonia","NY",11064
"Vidor ","TX",11063
"Crestwood","IL",11051
"Guthrie ","OK",11043
"Plymouth ","IN",11038
"Worthington ","MN",11036
"Huron ","SD",11033
"Campton Hills","IL",11031
"Tarrytown","NY",11031
"Pompton Lakes","NJ",11031
"Haverstraw","NY",11029
"Fairburn ","GA",11024
"Bolivar ","MO",11013
"Blackfoot ","ID",11012
"Campbellsville ","KY",1101
"Lewisburg ","TN",11003
"Rochester ","MI",11002
"St. Albans ","WV",10996
"Artesia ","NM",10994
"Ontario ","OR",10991
"Spencer ","IA",10986
"Cedar Lake","IN",10981
"Wood River ","IL",10973
"Healdsburg ","CA",10971
"St. Peter ","MN",10971
"South Lyon ","MI",10959
"Grosse Pointe Park ","MI",10956
"Lake Grove","NY",10948
"Burlington ","WI",1093
"Vernon ","TX",10924
"Sturgis ","MI",10916
"Newberry ","SC",10907
"Fort Madison ","IA",10897
"Signal Hill ","CA",10882
"Suamico","WI",10881
"Sedro-Woolley ","WA",10871
"Trenton ","OH",10866
"Lincolnton ","NC",10859
"West Richland ","WA",10857
"Ridgefield","NJ",10851
"Camp Verde","AZ",10849
"Hillsborough","CA",10844
"Beachwood","NJ",10835
"Sierra Madre ","CA",10834
"Wabash ","IN",10815
"Benton Harbor ","MI",10814
"Merriam ","KS",10814
"Palatka ","FL",10813
"Indianola ","MS",10805
"Marinette ","WI",108
"Manville","NJ",108
"Maryville ","MO",108
"Lawrenceburg ","TN",10778
"El Campo ","TX",10773
"Clute ","TX",10765
"Vermilion ","OH",10754
"Calera ","AL",10742
"Norcross ","GA",10737
"Galion ","OH",10737
"Struthers ","OH",10734
"Greensburg ","IN",1073
"Oneida ","NY",10723
"Sebring ","FL",10714
"Town and Country ","MO",1071
"South Miami ","FL",10707
"Kennett ","MO",10707
"Guymon ","OK",10702
"Westwood","NJ",10699
"Lansing ","KS",10691
"Enumclaw ","WA",10684
"Chatham","IL",10676
"River Edge","NJ",10674
"Webster ","TX",10665
"Bonham ","TX",1066
"Sweetwater ","TX",10657
"Orange Cove ","CA",10641
"Lansdowne","PA",10638
"Lincoln Park","NJ",10635
"Aliquippa ","PA",10631
"Mebane ","NC",10624
"Totowa","NJ",10621
"Grand Haven ","MI",10608
"Oil City ","PA",10598
"Dallas ","GA",10584
"Petal ","MS",10575
"Richmond Hill ","GA",10571
"Lindsay ","CA",10571
"Union City ","TN",10569
"Loganville ","GA",10562
"Keansburg","NJ",1055
"Superior","CO",10549
"Fort Morgan ","CO",10539
"Massena","NY",10539
"Anderson ","CA",10538
"Vienna ","WV",10536
"Jennings ","LA",10529
"Guttenberg","NJ",10528
"Reading ","OH",10523
"Minooka","IL",10514
"Coldwater ","MI",10514
"Vermillion ","SD",10495
"Bedford Heights ","OH",10485
"Piedmont ","CA",10481
"Monroe ","WI",10481
"Santa Fe ","TX",10479
"Little Ferry","NJ",10477
"Waupun ","WI",10469
"East Grand Rapids ","MI",10467
"Lindon ","UT",10466
"Alpena ","MI",10465
"Jesup ","GA",10459
"Montgomery ","OH",10458
"Kendallville ","IN",10452
"Woodbury ","NJ",1045
"East Rockaway","NY",10438
"Macedonia ","OH",10435
"Worth","IL",10426
"Steger","IL",10421
"Burkburnett ","TX",10418
"North Branch ","MN",10417
"Brooklyn ","OH",1041
"Snyder ","TX",10406
"Atchison ","KS",10402
"Wyomissing","PA",10399
"Mount Kisco","NY",10393
"East Stroudsburg","PA",1039
"Keokuk ","IA",10387
"Cheney ","WA",10385
"Springdale ","OH",10384
"Hope ","AR",10378
"Barrington","IL",10374
"Bound Brook","NJ",10365
"Haysville ","KS",10364
"Lumberton ","TX",10354
"Grain Valley ","MO",10352
"Andover ","KS",10351
"Mendota ","CA",10339
"Morro Bay ","CA",10333
"Silver City","NM",10329
"Robinson ","TX",10327
"Brownsville ","TN",10316
"Coffeyville ","KS",10312
"Denham Springs ","LA",10308
"Davidson","NC",10305
"Platteville ","WI",10297
"Boerne ","TX",10283
"Corning ","NY",10281
"Leon Valley ","TX",10269
"Doraville ","GA",10268
"Coolidge ","AZ",10261
"Tarboro","NC",10257
"Big Rapids ","MI",10257
"Wasilla ","AK",10256
"Celina ","OH",10255
"Sauk Village","IL",10254
"Pleasant Grove ","AL",10254
"West Haverstraw","NY",10252
"Lyons","IL",1025
"Gulf Shores ","AL",10248
"Cadillac ","MI",10245
"Bellefontaine Neighbors ","MO",10241
"Tomball ","TX",10234
"Newman ","CA",10226
"Summit","IL",10223
"Fairmont ","MN",10221
"Berwick","PA",10216
"Sleepy Hollow","NY",10212
"Van Wert ","OH",10211
"Martin ","TN",10208
"Pella ","IA",10208
"Galena Park ","TX",10207
"Nanticoke ","PA",10199
"Shasta Lake ","CA",10192
"Mayfield ","KY",10186
"Weatherford ","OK",10185
"Richmond Heights ","OH",10174
"Millington ","TN",10165
"Cape Canaveral ","FL",10147
"Greencastle ","IN",10145
"Andrews ","TX",10142
"Lexington ","NE",10126
"Cedartown ","GA",10123
"Washington ","NC",10112
"Westwego ","LA",10098
"Prineville ","OR",10085
"Mount Holly ","NC",10081
"Jacksonville ","AL",10077
"East Rutherford","NJ",10074
"Lantana","FL",10071
"Girard ","OH",10069
"Farmersville ","CA",10056
"Sussex","WI",10048
"White House ","TN",10048
"Columbia","PA",10033
"Riverton ","WY",10032
"Fort Mill","SC",10032
"Dunn ","NC",10029
"Manchester ","TN",10012
"Spearfish ","SD",1001
"DeRidder ","LA",10008
"Placerville ","CA",9994
"River Grove","IL",9992
"Carroll ","IA",9985
"Winfield","IL",9984
"Lancaster ","SC",9981
"Lawrenceburg ","KY",9978
"Lovington ","NM",9975
"Paris ","TN",9966
"Exeter ","CA",9963
"Valley ","AL",9962
"Waynesboro","PA",9947
"Newport ","OR",9943
"Marysville ","MI",9943
"Florida City ","FL",9935
"Waconia ","MN",9934
"Bethalto","IL",9933
"Middlesborough ","KY",9929
"St. Pete Beach ","FL",9927
"Forest Acres ","SC",9925
"Jacinto City ","TX",9923
"Great Neck","NY",9923
"Amityville","NY",992
"Portage ","WI",9919
"Glenpool ","OK",9914
"Elgin ","TX",9909
"Darby","PA",9903
"Sonoma ","CA",9893
"Newcastle ","WA",9885
"Alpine ","UT",9885
"Weddington","NC",9882
"Waynesville","NC",9877
"Winslow ","AZ",9867
"Beverly Hills","MI",9865
"Jeannette ","PA",9859
"Ecorse ","MI",9858
"Harvard ","IL",9855
"Astoria ","OR",9851
"Hillsdale","NJ",9848
"Rochelle ","IL",9847
"Northampton","PA",9841
"Potsdam","NY",9841
"Troy ","IL",984
"Farmington ","MI",9839
"Heber ","UT",983
"Bel Air","MD",9826
"Safford ","AZ",9823
"Sunbury ","PA",9819
"Waterloo ","IL",9813
"Melvindale ","MI",9812
"Peru ","IL",981
"Rockport ","TX",981
"Cairo ","GA",9809
"Jackson","WY",9806
"Fairview ","OR",9805
"Orange City ","FL",9799
"Big Lake ","MN",9795
"The Village ","OK",9769
"Watervliet ","NY",9765
"Mission ","KS",9765
"Harrisonville ","MO",9749
"Highland ","IL",9748
"Key Biscayne","FL",9735
"St. Francis ","WI",9733
"Edgewood ","WA",9711
"Sumner ","WA",9704
"Howell ","MI",9694
"Espanola ","NM",9691
"Union ","MO",9684
"Pleasanton ","TX",9681
"Irondale ","AL",9677
"Merrill ","WI",967
"Fort Oglethorpe ","GA",9663
"Jefferson Hills","PA",966
"Silverton ","OR",9649
"Sugar Grove","IL",9645
"North Bend ","OR",9636
"Bristol","PA",9635
"Edgewater","NJ",9635
"Clinton ","TN",9625
"Capitola ","CA",9612
"Arden Hills ","MN",9608
"Monmouth ","OR",9607
"Laurens ","SC",9599
"New Hyde Park","NY",9596
"Morrisville","PA",9594
"Steamboat Springs ","CO",9592
"Storm Lake ","IA",9591
"London ","OH",9587
"Emeryville ","CA",9583
"Harrisburg ","IL",9582
"Kinnelon","NJ",9582
"Bellmead ","TX",9579
"Havre ","MT",9575
"Decatur ","IN",9574
"Little Canada ","MN",957
"Perry ","IA",9569
"Rye Brook","NY",9568
"Berlin ","NH",9556
"Miami Shores","FL",9551
"Cedar Hills ","UT",9551
"North College Hill ","OH",9549
"Mound ","MN",9546
"Palm Beach","FL",9535
"Smithfield ","UT",9535
"Marathon ","FL",9526
"Raymondville ","TX",9522
"Brentwood","PA",9522
"Waldwick","NJ",9522
"LaSalle ","IL",952
"Morehead City","NC",9513
"Batesville ","AR",9511
"Hackettstown","NJ",9511
"Mount Airy ","NC",9501
"Louisville ","OH",9459
"Wapakoneta ","OH",9438
"Waseca ","MN",9438
"Warr Acres ","OK",9427
"Garden City ","GA",9414
"Baker City ","OR",9413
"Warren ","PA",9403
"Hamburg","NY",94
"Burlington ","NJ",9396
"Grandview ","WA",9392
"Gonzales ","LA",939
"Harrison ","OH",9387
"Berkeley ","MO",9387
"Clinton ","MO",9381
"Independence ","OR",9375
"Belmont ","NC",9374
"Oregon","WI",9369
"Hermantown ","MN",9361
"Lone Tree ","CO",9348
"Columbia ","IL",9342
"Archdale ","NC",9332
"Rainbow City ","AL",9324
"Monmouth ","IL",9321
"Bluffton ","IN",932
"Groton ","CT",9316
"Eureka ","MO",9316
"Shelby ","OH",9311
"Flossmoor","IL",9309
"Johnstown","CO",9309
